Tier,Company,Domain,Industry,Employees,Growth %,Source,Primary Buyer Titles,Secondary Titles,Trigger to mention,LinkedIn company search,Crunchbase search
P0 (Proven),Stan,stan.store,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Stan%22,https://www.crunchbase.com/textsearch?q=Stan
P0 (Proven),Google,google.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Google%22,https://www.crunchbase.com/textsearch?q=Google
P0 (Proven),SecurityScorecard,securityscorecard.com,Data Security Software,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22SecurityScorecard%22,https://www.crunchbase.com/textsearch?q=SecurityScorecard
P0 (Proven),Vimeo,vimeo.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Vimeo%22,https://www.crunchbase.com/textsearch?q=Vimeo
P0 (Proven),Chipotle Mexican Grill,chipotle.com,Restaurants,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Chipotle%20Mexican%20Grill%22,https://www.crunchbase.com/textsearch?q=Chipotle%20Mexican%20Grill
P0 (Proven),FranklinCovey,franklincovey.com,Professional Training,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22FranklinCovey%22,https://www.crunchbase.com/textsearch?q=FranklinCovey
P0 (Proven),Vitalize Healthcare,vitalize.care,Hospitals and Health Care,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Vitalize%20Healthcare%22,https://www.crunchbase.com/textsearch?q=Vitalize%20Healthcare
P0 (Proven),Upfront,getupfront.com,Technology/Internet,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Upfront%22,https://www.crunchbase.com/textsearch?q=Upfront
P0 (Proven),Amplify,amplify.com,Education,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Amplify%22,https://www.crunchbase.com/textsearch?q=Amplify
P0 (Proven),Zapier,zapier.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Zapier%22,https://www.crunchbase.com/textsearch?q=Zapier
P0 (Proven),1Password,1password.com,Computer and Network Security,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%221Password%22,https://www.crunchbase.com/textsearch?q=1Password
P0 (Proven),The Ambr Group,theambrgroup.com,Retail,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22The%20Ambr%20Group%22,https://www.crunchbase.com/textsearch?q=The%20Ambr%20Group
P0 (Proven),Stuf Storage,stufstorage.com,Consumer Services,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Stuf%20Storage%22,https://www.crunchbase.com/textsearch?q=Stuf%20Storage
P0 (Proven),Multiply Mortgage,multiplymortgage.com,Technology/Internet,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Multiply%20Mortgage%22,https://www.crunchbase.com/textsearch?q=Multiply%20Mortgage
P0 (Proven),Anagram,goanagram.com,Technology/Internet,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Anagram%22,https://www.crunchbase.com/textsearch?q=Anagram
P0 (Proven),WhyHow.AI,whyhow.ai,Technology/Internet,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22WhyHow.AI%22,https://www.crunchbase.com/textsearch?q=WhyHow.AI
P0 (Proven),Crunchyroll,crunchyroll.com,Entertainment,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Crunchyroll%22,https://www.crunchbase.com/textsearch?q=Crunchyroll
P1 (Lookalike),Lessen,lessen.com,Software,1053.0,45603.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Lessen%22,https://www.crunchbase.com/textsearch?q=Lessen
P1 (Lookalike),Alpine IQ,aiq.com,Software,60.0,16469.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Alpine%20IQ%22,https://www.crunchbase.com/textsearch?q=Alpine%20IQ
P1 (Lookalike),Marketcall,marketcall.com,Advertising & Marketing,70.0,11186.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Marketcall%22,https://www.crunchbase.com/textsearch?q=Marketcall
P1 (Lookalike),COMPEO,compeo.io,Human Resources,106.0,10915.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22COMPEO%22,https://www.crunchbase.com/textsearch?q=COMPEO
P1 (Lookalike),Wisetack,wisetack.com,Financial Services,141.0,10010.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Wisetack%22,https://www.crunchbase.com/textsearch?q=Wisetack
P1 (Lookalike),DQS Solutions & Staffing,dqstaff.com,Human Resources,3148.0,9912.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22DQS%20Solutions%20%26%20Staffing%22,https://www.crunchbase.com/textsearch?q=DQS%20Solutions%20%26%20Staffing
P1 (Lookalike),Liberty1 Financial,liberty1financial.com,Financial Services,60.0,9180.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Liberty1%20Financial%22,https://www.crunchbase.com/textsearch?q=Liberty1%20Financial
P1 (Lookalike),Auxilior Capital Partners,auxcap.com,Financial Services,92.0,8917.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Auxilior%20Capital%20Partners%22,https://www.crunchbase.com/textsearch?q=Auxilior%20Capital%20Partners
P1 (Lookalike),Clutch,clutch.co,Advertising & Marketing,147.0,8123.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Clutch%22,https://www.crunchbase.com/textsearch?q=Clutch
P1 (Lookalike),Gordian Staffing,gordianstaffing.com,Human Resources,530.0,8120.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Gordian%20Staffing%22,https://www.crunchbase.com/textsearch?q=Gordian%20Staffing
P1 (Lookalike),EDM Leads,edmleadnetwork.com,Advertising & Marketing,54.0,7322.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22EDM%20Leads%22,https://www.crunchbase.com/textsearch?q=EDM%20Leads
P1 (Lookalike),Why Unified,whyunified.com,Business Products & Services,51.0,7191.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Why%20Unified%22,https://www.crunchbase.com/textsearch?q=Why%20Unified
P1 (Lookalike),DebtBook,debtbook.com,Software,162.0,6722.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22DebtBook%22,https://www.crunchbase.com/textsearch?q=DebtBook
P1 (Lookalike),GoTu Technology,joingotu.com,Human Resources,149.0,6282.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22GoTu%20Technology%22,https://www.crunchbase.com/textsearch?q=GoTu%20Technology
P1 (Lookalike),PL360Â°,privatelending360.com,Financial Services,50.0,5566.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22PL360%C3%82%C2%B0%22,https://www.crunchbase.com/textsearch?q=PL360%C3%82%C2%B0
P1 (Lookalike),Blu Omega,bluomega.com,IT Services,113.0,5218.0,Inc 5000 2024 (lookalike),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Blu%20Omega%22,https://www.crunchbase.com/textsearch?q=Blu%20Omega
